"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
1965, 1.082494851276758e+00, 1.187188875111879e+00, 7.417602592115243e-03, 9.962277730403454e-01, -3.457624036218587e-02, 7.705570206359068e-01
1967, 7.446230612163097e-01, 1.141889690510438e+00, 2.018195399950612e-02, 4.960293402540832e-01, -1.034973105934710e+00, 1.314411318656782e+00
1968, 7.593650300491939e-01, 1.157506212356880e+00, 2.037333182346261e-02, 6.735194978162979e-01, -6.799927908102806e-01, 1.091144526557963e+00
1969, 7.451782352685834e-01, 1.162913393593568e+00, 1.921633800017648e-02, 5.140111856531049e-01, -9.990094151366667e-01, 1.313831966669513e+00
1970, 7.750369525547683e-01, 1.171452004252890e+00, 2.064334557878387e-02, 8.340673404176786e-01, -3.588971056075194e-01, 9.589389673720770e-01
1972, 8.293402695189963e-01, 1.193639464958090e-01, 1.343733382748620e-03, 1.168199920664770e+00, 3.093680548866632e-01, 6.504502223261439e-01
1973, 8.241027032454815e-01, 1.208431490735119e-01, 2.083608719990809e-03, 1.146714037154723e+00, 2.663962878665686e-01, 6.641476596467208e-01
1974, 8.180444289056181e-01, 9.939198110889699e-02, 2.083621680344754e-03, 1.146608210428699e+00, 2.661846344145217e-01, 6.706343838390397e-01
1975, 8.333691832638483e-01, 1.182260936675734e-01, 7.747254936828890e-04, 1.182931390477293e+00, 3.388309945117100e-01, 6.183095007441400e-01
1976, 1.084369166446346e+00, 1.006967959296796e+00, 7.744387874892466e-04, 1.168879681606294e+00, 3.107275767697115e-01, 5.765565412738513e-01
1982, 6.777994857608725e-01, 3.137318113351463e-02, 1.665214725382336e-02, 9.516151926918296e-01, -1.238014010592174e-01, 8.779547560390556e-01
1983, 7.327327574360526e-01, 1.171199033883767e+00, 1.774265046821751e-02, 4.772627045652854e-01, -1.072506377312306e+00, 1.368930106374477e+00
1580, 7.692013554874892e-01, 1.196300000000000e+00, 1.924162527220925e-02, 6.999203704963641e-01, -6.271910454501483e-01, 1.079112270169671e+00
1984, 8.113359930202484e-01, 1.164709185714450e+00, 2.219671555733748e-02, 8.948240602377138e-01, -2.373836659674490e-01, 9.009213728114029e-01
1542, 7.261909104134893e-01, 0.000000000000000e+00, 1.033151555531481e-02, 9.916705486601453e-01, -4.369068912258610e-02, 8.433993380802512e-01
1985, 8.304100452834594e-01, 9.589966222131487e-02, 3.368256081466005e-04, 1.220897241579000e+00, 4.147626967151233e-01, 6.103642014486806e-01
1986, 8.253614822950414e-01, 7.802368921081138e-02, 3.368284746340212e-04, 1.222185217426813e+00, 4.173386484107499e-01, 6.142195843402484e-01
1987, 8.051640291968933e-01, 3.376066005709940e-02, 1.343653674788729e-03, 1.163573096627604e+00, 3.001144068123306e-01, 6.732503264521547e-01
1988, 8.031351239941378e-01, 2.657670769925227e-02, 1.343647435030444e-03, 1.162402583307137e+00, 2.977733801713981e-01, 6.756190115300467e-01
1989, 8.071640488430638e-01, 2.543885173496380e-02, 7.747244470600583e-04, 1.192826068639344e+00, 3.586203508358107e-01, 6.306219718009506e-01
1990, 8.091929532784189e-01, 3.262280430954308e-02, 7.747248189051174e-04, 1.190701656186334e+00, 3.543715259297917e-01, 6.282631856730528e-01
1992, 7.211423943400656e-01, 1.188622755843024e+00, 1.524999986621858e-02, 4.583646673344967e-01, -1.110302451773883e+00, 1.412152626056621e+00
1584, 7.259886409775018e-01, 1.196300000000000e+00, 1.524941066451821e-02, 5.669655519800167e-01, -8.931006824828429e-01, 1.276679789914805e+00
1544, 7.543417562509949e-01, 0.000000000000000e+00, 6.742543363697071e-03, 1.037931617715127e+00, 4.883144898737690e-02, 7.993498949028386e-01
1996, 7.837282352543011e-01, 3.614319115784115e-03, 3.034818828196533e-03, 1.104119643919927e+00, 1.812075013969769e-01, 7.347744141525598e-01
1997, 7.775653104204199e-01, 5.270525082682515e-03, 3.901918115739110e-03, 1.090386669440103e+00, 1.537415524373284e-01, 7.482816117813093e-01
1547, 7.812850376381222e-01, 0.000000000000000e+00, 3.220918667007351e-03, 1.096905345503645e+00, 1.667789045644139e-01, 7.430243589284264e-01
1585, 7.171145088531725e-01, 1.196300000000000e+00, 1.402799465027147e-02, 4.750293457870955e-01, -1.076973094868685e+00, 1.415570770457100e+00
1581, 7.564202262735170e-01, 1.196300000000000e+00, 1.832004040936723e-02, 6.166680548569000e-01, -7.936956767290765e-01, 1.198606552146769e+00
2000, 1.123738862337401e+00, 1.134519518714116e+00, 3.367581692030814e-04, 1.190088812259888e+00, 3.531458380768994e-01, 6.088033569642723e-01
1545, 7.650008577674055e-01, 0.000000000000000e+00, 5.351064676747168e-03, 1.059452302021388e+00, 9.187281759989971e-02, 7.784722583165510e-01
1582, 7.450009477802083e-01, 1.196300000000000e+00, 1.733508731838573e-02, 5.864241712139435e-01, -8.541834440149895e-01, 1.246100701449097e+00
1566, 1.030083539450996e+00, 1.196300000000000e+00, 1.293197025896638e-02, 9.238764638067521e-01, -1.792788588293723e-01, 8.230178701387909e-01
1546, 7.738830833018714e-01, 0.000000000000000e+00, 4.188751016620650e-03, 1.079607943481672e+00, 1.321841005204680e-01, 7.594240512231569e-01
2002, 7.187559329385694e-01, 1.178906256778221e+00, 1.572337660498958e-02, 4.089057211142189e-01, -1.209220344214439e+00, 1.486097540751823e+00
2003, 7.138705374425698e-01, 1.184022377829926e+00, 1.466294469393983e-02, 3.963758909929820e-01, -1.234280004456912e+00, 1.508762225621449e+00
2004, 7.133375741840992e-01, 1.191320125636562e+00, 1.392593141176238e-02, 4.092816366228427e-01, -1.208468513197191e+00, 1.490562915638831e+00
1586, 7.097421216971789e-01, 1.196300000000000e+00, 1.285718446994848e-02, 4.247727372054724e-01, -1.177486312031932e+00, 1.470362552244133e+00
2005, 7.064312378101443e-01, 1.193377036115376e+00, 1.258137608293178e-02, 3.930579686032708e-01, -1.240915849236335e+00, 1.530778724953200e+00
2006, 6.703850265288305e-01, 1.160390935820999e+00, 2.471685767311586e-03, 1.219128062900179e+00, 4.112243393574823e-01, 6.362698356934252e-01
2007, 7.258615072791688e-01, 1.178921077573427e+00, 1.654540843613003e-02, 4.604190864012188e-01, -1.106193613640439e+00, 1.396268003471262e+00
2008, 1.090253352432249e+00, 1.179728762063148e+00, 6.292690157827646e-03, 1.014449111475376e+00, 1.866436507875324e-03, 7.650541997105179e-01
2009, 1.091684324124115e+00, 1.167896743826468e+00, 5.722120631474662e-03, 1.026914794416593e+00, 2.679780239030993e-02, 7.561808140400040e-01
2010, 8.122920927722871e-01, 3.174753994263761e-02, 3.368359225276085e-04, 1.224828734687730e+00, 4.226256829325833e-01, 6.274637487013128e-01
2011, 7.077931607176970e-01, 1.188660549019788e+00, 1.331809611071501e-02, 3.748215467639348e-01, -1.277388692915007e+00, 1.533223421322585e+00
1587, 7.036570662476864e-01, 1.196300000000000e+00, 1.157448165021472e-02, 4.372316417516175e-01, -1.152568502939641e+00, 1.465324524887233e+00
2012, 1.134630583184025e+00, 1.184933727492639e+00, 7.745443257722778e-04, 1.056804887461324e+00, 8.657798847977059e-02, 6.928210222495261e-01
2013, 1.133221621224546e+00, 1.179944871692284e+00, 7.745398936152849e-04, 1.073413030539039e+00, 1.197942746352005e-01, 6.886638927682908e-01
2014, 1.136320775735468e+00, 1.179069603084232e+00, 3.367657724165339e-04, 1.125752560060052e+00, 2.244733336772268e-01, 6.625486396356303e-01
2015, 1.137729737234298e+00, 1.184058459014685e+00, 3.367666833783832e-04, 1.096843377000145e+00, 1.666549675574127e-01, 6.744701098757845e-01
2016, 7.915602178278526e-01, 1.133666096921812e-02, 2.294929411599902e-03, 1.130115713843147e+00, 2.331996412434169e-01, 7.059000476417461e-01
2017, 7.971536250672311e-01, 1.122733606315594e-02, 1.559459218461406e-03, 1.152636036290091e+00, 2.782402861373047e-01, 6.866875984523171e-01
