"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          68, 0.2826314606, 0.0126877242, 0.0141989063, 0.1488579373, -0.0631003762, 0.0130445068, -0.0024177111, 0.0141989063, 0.2829057715, 22.2759775670, -6.5447401919, -6.5546655395, -6.8874704586, -6.7236562527, -6.0439251737, 2.0000000000, 5.0000000000, 1.0451933662
          69, 0.2826373730, 0.0126896844, 0.0141992344, 0.1488599770, -0.0631023208, 0.0130437634, -0.0024160694, 0.0141992344, 0.2829117801, 22.2730026255, -6.5751408587, -6.5880379654, -6.9247945605, -6.7686393807, -6.0745926841, 2.0000000000, 5.0000000000, 1.0605921666
          70, 0.2826438837, 0.0126918139, 0.0141995077, 0.1488626831, -0.0631048368, 0.0130429394, -0.0024142904, 0.0141995077, 0.2829183952, 22.2697783705, -6.6052477758, -6.6218188500, -6.9620319375, -6.8129481127, -6.1050653817, 2.0000000000, 5.0000000000, 1.0759898663
          71, 0.2826506516, 0.0126940218, 0.0141997348, 0.1488658133, -0.0631077008, 0.0130420807, -0.0024124470, 0.0141997348, 0.2829252713, 22.2664381412, -6.6352097307, -6.6559099696, -6.9989403038, -6.8565930360, -6.1354516197, 2.0000000000, 5.0000000000, 1.0915874521
          72, 0.2826573616, 0.0126962307, 0.0141999228, 0.1488691436, -0.0631107124, 0.0130412237, -0.0024105994, 0.0141999228, 0.2829320897, 22.2630927891, -6.6651807094, -6.6901943014, -7.0352522589, -6.8995922788, -6.1658633395, 2.0000000000, 5.0000000000, 1.1068573674
          73, 0.2826637344, 0.0126983744, 0.0142000765, 0.1488724757, -0.0631136937, 0.0130403977, -0.0024087989, 0.0142000765, 0.2829385678, 22.2598361810, -6.6953014018, -6.7245493780, -7.0707240673, -6.9419605456, -6.1964010519, 2.0000000000, 5.0000000000, 1.1238708337
          74, 0.2826695303, 0.0127004000, 0.0142001997, 0.1488756376, -0.0631164936, 0.0130396243, -0.0024070857, 0.0142001997, 0.2829444635, 22.2567423569, -6.7256827420, -6.7588604142, -7.1051867259, -6.9836935867, -6.2271402368, 2.0000000000, 5.0000000000, 1.1397292336
          75, 0.2826745538, 0.0127022670, 0.0142002954, 0.1488784861, -0.0631189885, 0.0130389183, -0.0024054895, 0.0142002954, 0.2829495796, 22.2538665254, -6.7563904756, -6.7930356251, -7.1385796205, -7.0247637833, -6.2581173175, 2.0000000000, 5.0000000000, 1.1550921321
          76, 0.2826786504, 0.0127039459, 0.0142003660, 0.1488809040, -0.0631210777, 0.0130382894, -0.0024040317, 0.0142003660, 0.2829537599, 22.2512480165, -6.7874339102, -6.8270195102, -7.1709634837, -7.0651161748, -6.2893206977, 2.0000000000, 5.0000000000, 1.1703389684
          77, 0.2826817095, 0.0127054181, 0.0142004134, 0.1488828029, -0.0631226911, 0.0130377420, -0.0024027248, 0.0142004134, 0.2829568933, 22.2489104197, -6.8187674483, -6.8607969390, -7.2025138510, -7.1046682926, -6.3206963117, 2.0000000000, 5.0000000000, 1.1856761654
          78, 0.2826836599, 0.0127066737, 0.0142004401, 0.1488841188, -0.0631237815, 0.0130372777, -0.0024015751, 0.0142004401, 0.2829589079, 22.2468653947, -6.8502923018, -6.8943958727, -7.2334944244, -7.1433179405, -6.3521506351, 2.0000000000, 5.0000000000, 1.2011450171
          79, 0.2826844687, 0.0127077108, 0.0142004481, 0.1488848131, -0.0631243258, 0.0130368945, -0.0024005827, 0.0142004481, 0.2829597709, 22.2451133932, -6.8818688882, -6.9278793502, -7.2642058210, -7.1809669782, -6.3835640733, 2.0000000000, 5.0000000000, 1.2166600347
          80, 0.2826841439, 0.0127085348, 0.0142004375, 0.1488848752, -0.0631243240, 0.0130365865, -0.0023997425, 0.0142004375, 0.2829594906, 22.2436454922, -6.9133345190, -6.9613391895, -7.2949416297, -7.2175401283, -6.4148085943, 2.0000000000, 5.0000000000, 1.2332721512
          81, 0.2826827239, 0.0127091561, 0.0142004089, 0.1488843147, -0.0631237927, 0.0130363465, -0.0023990463, 0.0142004089, 0.2829581057, 22.2424464463, -6.9445270986, -6.9948814070, -7.3259431438, -7.2530090883, -6.4457700450, 2.0000000000, 5.0000000000, 1.2489519676
          82, 0.2826802717, 0.0127095890, 0.0142003646, 0.1488831582, -0.0631227625, 0.0130361676, -0.0023984831, 0.0142003646, 0.2829556802, 22.2414958481, -6.9753091891, -7.0286117833, -7.3573632247, -7.2874099745, -6.4763665299, 2.0000000000, 5.0000000000, 1.2645582000
          83, 0.2826768759, 0.0127098519, 0.0142003064, 0.1488814492, -0.0631212793, 0.0130360416, -0.0023980394, 0.0142003064, 0.2829523032, 22.2407686976, -7.0055917076, -7.0626196642, -7.3892427081, -7.3208507538, -6.5065645832, 2.0000000000, 5.0000000000, 1.2799822330
          84, 0.2826726407, 0.0127099645, 0.0142002363, 0.1488792422, -0.0631193957, 0.0130359602, -0.0023977008, 0.0142002363, 0.2829480801, 22.2402384696, -7.0353486496, -7.0969642154, -7.4215049588, -7.3535007702, -6.5363849555, 2.0000000000, 5.0000000000, 1.2960599343
          85, 0.2826676792, 0.0127099474, 0.0142001558, 0.1488765973, -0.0631171681, 0.0130359152, -0.0023974530, 0.0142001558, 0.2829431247, 22.2398779709, -7.0646231666, -7.1316666200, -7.4539632705, -7.3855656182, -6.5659016775, 2.0000000000, 5.0000000000, 1.3127540668
          86, 0.2826621122, 0.0127098219, 0.0142000664, 0.1488735808, -0.0631146575, 0.0130358987, -0.0023972812, 0.0142000664, 0.2829375590, 22.2396595254, -7.0935212616, -7.1667068131, -7.4863449714, -7.4172563774, -6.5952309504, 2.0000000000, 5.0000000000, 1.3281711658
