"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
37	6.788128719655436e-01	-6.382851902998635e-02	1.292222296638954e+00	1.263554432944719e+01	2.022699191292042e+00	2.533694186939488e+05	1.013224238052182e+05	2.731484153382351e+02	-4.205933651177683e-02	2.988842099728637e-02	
38	6.638303336015632e-01	-6.619133339767916e-02	1.292216661768337e+00	1.270657624474192e+01	1.974130616295890e+00	2.533684906122015e+05	1.013218039001220e+05	2.731479352672904e+02	-5.217999867193428e-02	3.003478770022453e-02	
39	6.486680111646832e-01	-6.851053261749178e-02	1.292210919272287e+00	1.277489840107249e+01	1.922379215602192e+00	2.533675341525085e+05	1.013211829597584e+05	2.731474751510818e+02	-6.231756276199634e-02	3.017442178452004e-02	
40	6.333457763446105e-01	-7.077736870549564e-02	1.292206203017420e+00	1.284225159989281e+01	1.866866167039274e+00	2.533667761795376e+05	1.013206451867162e+05	2.731470223116200e+02	-7.109732487767016e-02	3.031120842142538e-02	
41	6.178836428585401e-01	-7.298453847065162e-02	1.292201059461927e+00	1.290572361285173e+01	1.808295560320348e+00	2.533659239601611e+05	1.013200845669517e+05	2.731465982000474e+02	-8.025008595593670e-02	3.043878720836906e-02	
42	6.022918829979979e-01	-7.512746076262021e-02	1.292196291144083e+00	1.296826214784364e+01	1.746813338451445e+00	2.533651432157879e+05	1.013195555572593e+05	2.731461799840797e+02	-8.888677632978491e-02	3.056408867976018e-02	
43	5.865805370555901e-01	-7.720003704872228e-02	1.292191669526764e+00	1.302709654581438e+01	1.681539618407869e+00	2.533643810104089e+05	1.013190484988574e+05	2.731457899336428e+02	-9.716508669173436e-02	3.068052752590003e-02	
44	5.707698828178659e-01	-7.919544363137498e-02	1.292187321450624e+00	1.308481330489873e+01	1.612685830727733e+00	2.533636695833823e+05	1.013185656819500e+05	2.731454074114886e+02	-1.050476268328986e-01	3.079427430917131e-02	
45	5.548700141523145e-01	-8.110758962298688e-02	1.292183493608327e+00	1.313811119372930e+01	1.539982815790950e+00	2.533630478795254e+05	1.013181360767396e+05	2.731450583726098e+02	-1.120614249520999e-01	3.089771588016173e-02	
46	5.389116903787469e-01	-8.292916815191713e-02	1.292179598161816e+00	1.318990219960978e+01	1.464556908389011e+00	2.533624094686782e+05	1.013177046592164e+05	2.731447187361844e+02	-1.191048111560188e-01	3.099804430523336e-02	
