"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
145, 4.274913461404422e-01, 9.435586527158779e-02, 1.012758950892662e+05, -8.016940254399599e-01, 3.924146040346524e-02
146, 4.434780744504203e-01, 9.355892448993662e-02, 1.012774637859818e+05, -7.760832511643234e-01, 3.896701997486611e-02
147, 4.595223143871608e-01, 9.262777182295777e-02, 1.012789006503825e+05, -7.526247907324798e-01, 3.868910284998478e-02
148, 4.755927373100032e-01, 9.156735885674272e-02, 1.012804459135848e+05, -7.273965954563338e-01, 3.840966463582268e-02
149, 4.916784507512230e-01, 9.038166559105053e-02, 1.012818829309605e+05, -7.039356375329850e-01, 3.812827918034822e-02
150, 5.077686802490085e-01, 8.907559700806440e-02, 1.012833947872585e+05, -6.792528483113880e-01, 3.784680255456895e-02
151, 5.238322996635174e-01, 8.765458319326185e-02, 1.012848434515688e+05, -6.556017408133379e-01, 3.756745540874418e-02
152, 5.398687846231910e-01, 8.612261695892584e-02, 1.012863101117979e+05, -6.316568292870361e-01, 3.728917669532166e-02
153, 5.558470480145109e-01, 8.448515926228699e-02, 1.012877599224493e+05, -6.079870064557168e-01, 3.701226333087665e-02
154, 5.717667856196245e-01, 8.274615686373191e-02, 1.012891818365559e+05, -5.847726267347921e-01, 3.673502850696470e-02
155, 5.875972183504343e-01, 8.091426818196716e-02, 1.012906773413271e+05, -5.603567949537773e-01, 3.645812165158296e-02
156, 6.033278139988799e-01, 7.899325274505466e-02, 1.012920191768169e+05, -5.384497905571032e-01, 3.617838554162250e-02
157, 6.189380432309994e-01, 7.698929639821404e-02, 1.012934907241220e+05, -5.144250919065577e-01, 3.589824151439237e-02
158, 6.344177034963633e-01, 7.490860737273587e-02, 1.012948814096423e+05, -4.917205546985682e-01, 3.561473456540497e-02
159, 6.497564809769013e-01, 7.275655532502762e-02, 1.012963096441725e+05, -4.684029868078388e-01, 3.533455538111202e-02
160, 6.649342413798007e-01, 7.054063244377479e-02, 1.012977121038814e+05, -4.455062224571429e-01, 3.505066273372849e-02
